,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,genres1
90187,tt0122136,movie,Black Cat,Yabu no naka no kuroneko,0,1968,99,"Drama,Horror",7.7,6284,Drama
900044,tt5235528,video,The Power Station: Get It On (Bang a Gong),The Power Station: Get It On (Bang a Gong),0,1985,4,"Music,Short",7.1,15,Music
482247,tt11038950,video,The Beatles: Here Comes the Sun (2019 Mix),The Beatles: Here Comes the Sun (2019 Mix),0,2019,3,"Animation,Music,Short",8.2,5,Animation
135800,tt0215160,short,Scholastic England,Scholastic England,0,1948,9,"Documentary,Short",6.7,63,Documentary
756633,tt2771054,movie,Siginti,Siginti,0,1974,79,Drama,6.6,10,Drama
542457,tt1260873,tvEpisode,Episode #1.4,Episode #1.4,0,1980,54,"Comedy,Drama,Romance",6.5,22,Comedy
878538,tt4849968,tvEpisode,Le mystère mérou,Le mystère mérou,0,2015,90,"Biography,History",8.2,9,Biography
397676,tt0849466,movie,El rey de los huevones,El rey de los huevones,0,2006,96,Comedy,5.2,400,Comedy
744282,tt2575374,short,Porträtt av Åsa,Porträtt av Åsa,0,1965,30,"Documentary,Short",6.9,12,Documentary
631187,tt1685768,tvEpisode,Morimoto vs. Cohen: Broccoli,Morimoto vs. Cohen: Broccoli,0,2010,42,"Game-Show,Reality-TV",7.9,8,Game-Show
420992,tt0938411,tvEpisode,Intoccabile (Acte II),Intoccabile (Acte II),0,2001,25,"Action,Animation,Crime",7.5,22,Action
547194,tt1276106,tvMovie,A Sister's Secret,A Sister's Secret,0,2009,86,"Drama,Mystery,Thriller",3.8,255,Drama
111015,tt0164201,movie,Tiempos mejores,Tiempos mejores,0,1994,98,Comedy,5.9,20,Comedy
738275,tt2484120,tvShort,Room on the Broom,Room on the Broom,0,2012,25,"Animation,Comedy,Family",7.6,3555,Animation
955255,tt6212520,tvEpisode,Christmas Eve Eve,Christmas Eve Eve,0,2016,23,Comedy,7.6,519,Comedy
388012,tt0820641,tvEpisode,Episode #1.4212,Episode #1.4212,0,2006,28,"Drama,Romance",8.0,5,Drama
692604,tt2104021,movie,Elsa and Her Dancers,Elsa y su ballet,0,2011,99,Documentary,7.7,7,Documentary
781720,tt3197078,tvEpisode,The Place I Called My Home,The Place I Called My Home,0,2013,43,"Action,Drama",7.9,92,Action
416306,tt0917909,tvEpisode,Robotech Masters,Robotech Masters,0,1985,24,"Action,Adventure,Animation",7.0,41,Action
733434,tt2414280,tvSeries,Brutalica,Brutalica,0,2008,11,Music,8.8,8,Music
158873,tt0267113,movie,Who's Next?,Who's Next?,0,1999,78,Comedy,7.6,12,Comedy
849887,tt4319668,tvEpisode,"Dude, Where's My Eggman?","Dude, Where's My Eggman?",0,2014,11,"Action,Adventure,Animation",8.5,113,Action
682563,tt2034389,tvEpisode,The Proposal,The Proposal,0,2011,22,"Drama,Family,Reality-TV",4.6,73,Drama
505717,tt11598800,tvSeries,Baraj,Baraj,0,2020,120,Drama,6.0,100,Drama
476044,tt1090877,tvEpisode,Frightmare,Frightmare,0,2007,25,"Action,Adventure,Animation",8.1,71,Action
636971,tt1719387,tvEpisode,Episode #1.3,Episode #1.3,0,2011,59,Drama,7.6,135,Drama
113419,tt0168578,movie,"Chicks, Man","Chicks, Man",0,2000,93,"Comedy,Romance",5.2,101,Comedy
250849,tt0481241,movie,Trinetra,Trinetra,0,1991,157,Action,5.2,68,Action
534337,tt1236193,movie,Final Edition,Final Edition,0,2007,113,"Horror,Thriller",5.6,10,Horror
965232,tt6394332,short,Dadcula,Dadcula,0,2016,6,"Comedy,Horror,Short",6.5,8,Comedy
170548,tt0290145,movie,Blue Car,Blue Car,0,2002,96,Drama,6.5,3370,Drama
303932,tt0601723,tvEpisode,More Skinned Against Than Skinning,More Skinned Against Than Skinning,0,1986,47,"Crime,Drama,Mystery",7.6,43,Crime
504627,tt11569268,tvEpisode,"Greek Islands: Santorini, Mykonos, and Rhodes","Greek Islands: Santorini, Mykonos, and Rhodes",0,2018,25,"Biography,Documentary,History",7.8,5,Biography
191950,tt0338411,tvSeries,Sauveur Giordano,Sauveur Giordano,0,2001,90,"Action,Thriller",5.5,28,Action
333663,tt0674780,tvEpisode,In the Smoke,In the Smoke,0,1997,50,"Comedy,Crime,Drama",7.6,40,Comedy
445267,tt10207884,tvEpisode,Lost Gold of Scotland,Lost Gold of Scotland,0,2019,42,"Adventure,Mystery,Reality-TV",7.4,26,Adventure
64162,tt0090362,movie,Killing Auntie,Zabicie ciotki,0,1985,105,"Drama,Thriller",6.9,37,Drama
755012,tt2746284,movie,The Sleeping Tree,Alshajarh alnaemah,0,2014,87,"Drama,Family,Fantasy",7.8,57,Drama
75388,tt0103558,tvSeries,Sterne des Südens,Sterne des Südens,0,1992,270,"Adventure,Drama,Family",3.1,32,Adventure
22060,tt0040972,movie,Without Prejudice,Miklukho-Maklay,0,1947,90,"Adventure,Biography,Drama",6.8,32,Adventure
115571,tt0173762,short,Deca,Deca,0,1973,10,"Documentary,Short",7.0,5,Documentary
617887,tt1608558,short,Out of the Sky,Out of the Sky,0,2009,25,"Crime,Drama,Short",8.8,45,Crime
84912,tt0115270,tvSeries,Millennium,Millennium,0,1996,45,"Crime,Drama,Horror",8.0,9867,Crime
314823,tt0630280,tvEpisode,Pet Fair,Pet Fair,0,1960,30,"Comedy,Family",7.2,61,Comedy
188910,tt0330265,short,Het everzwijn,Het everzwijn,0,2002,15,Short,6.1,16,Short
861683,tt4532966,tvEpisode,"Safety, Pt. 2","Safety, Pt. 2",0,2014,22,Comedy,7.9,11,Comedy
417574,tt0922865,tvEpisode,Thundercubs: Part IV,Thundercubs: Part IV,0,1988,22,"Action,Adventure,Animation",9.0,98,Action
323187,tt0648673,tvEpisode,Fiddler on the Hoof,Fiddler on the Hoof,0,1989,51,"Comedy,Crime,Drama",7.4,44,Comedy
552527,tt1291584,movie,Warrior,Warrior,0,2011,140,"Action,Drama,Sport",8.2,432010,Action
1047853,tt8332280,movie,The Bodyguard,The Bodyguard,0,2018,99,Drama,7.8,37,Drama
886967,tt5022622,tvSeries,Non uccidere,Non uccidere,0,2015,90,"Crime,Drama,Mystery",6.9,534,Crime
349079,tt0708977,tvEpisode,The Chute,The Chute,0,1996,45,"Action,Adventure,Sci-Fi",6.8,1217,Action
1005857,tt7262868,tvEpisode,Erchomai,Erchomai,0,2018,43,"Action,Drama,Fantasy",9.4,2226,Action
991603,tt6961778,tvEpisode,Bee Kind,Bee Kind,0,2017,20,"Comedy,Mystery,Sci-Fi",8.2,91,Comedy
143666,tt0233038,tvSeries,Chain Reaction,Chain Reaction,0,1980,30,Game-Show,6.7,30,Game-Show
390881,tt0829666,tvEpisode,Frank Caliendo,Frank Caliendo,0,2004,22,"Comedy,Documentary",7.5,53,Comedy
890048,tt5078860,tvMiniSeries,The Ascent of Woman,The Ascent of Woman,0,2015,235,History,8.0,214,History
365055,tt0750259,tvEpisode,The Bermuda Triangle Crisis,The Bermuda Triangle Crisis,0,1977,46,"Action,Adventure,Drama",7.6,113,Action
508529,tt1167753,tvEpisode,Krillin's Frantic Attack!,Krillin's Frantic Attack!,0,2001,24,"Action,Adventure,Animation",7.8,250,Action
262227,tt0509039,tvEpisode,Horse Sense,Horse Sense,0,1978,51,"Comedy,Drama",7.8,108,Comedy
354146,tt0721405,tvEpisode,Lou Costello,Lou Costello,0,1956,30,"Biography,Family,Reality-TV",8.2,12,Biography
105383,tt0152239,movie,Rozvod pani Evy,Rozvod pani Evy,0,1937,80,Drama,5.0,5,Drama
691790,tt2098371,tvEpisode,You're Way Too Pretty to Go to Jail,You're Way Too Pretty to Go to Jail,0,2012,40,"Crime,Drama,Mystery",8.4,175,Crime
675866,tt1980284,short,The Southern Belle,The Southern Belle,0,2012,10,"Drama,Short",7.5,87,Drama
868629,tt4666316,tvEpisode,The Evil Island of Dr. B,The Evil Island of Dr. B,0,2002,22,"Action,Animation,Family",7.4,18,Action
713945,tt2265165,short,BFF Zombie,BFF Zombie,0,2012,23,"Comedy,Drama,Horror",5.9,38,Comedy
461218,tt1054980,tvEpisode,Watashi no Mr. Dream,Watashi no Mr. Dream,0,1983,23,"Adventure,Animation,Comedy",5.2,8,Adventure
895858,tt5171326,tvEpisode,Episode #10.7,Episode #10.7,0,2015,47,"Documentary,Reality-TV",7.2,5,Documentary
25641,tt0045372,tvSeries,The Big Picture,The Big Picture,0,1950,30,Documentary,7.3,25,Documentary
661371,tt1863820,tvEpisode,L'évasion,L'évasion,0,2011,50,"Crime,Drama,Romance",7.2,8,Crime
783591,tt3223262,tvEpisode,The Sacred Taking,The Sacred Taking,0,2013,44,"Drama,Horror,Thriller",7.9,3057,Drama
787491,tt3280768,movie,Os últimos cangaceiros,Os últimos cangaceiros,0,2011,79,"Biography,Documentary,History",6.6,21,Biography
1055778,tt8550020,tvEpisode,Blind Terror,Blind Terror,0,2018,42,Crime,8.6,5,Crime
718236,tt2301136,tvEpisode,White Hats Off,White Hats Off,0,2012,44,"Drama,Thriller",8.2,672,Drama
